Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
SXLP-45+,HF1139,"Lumped LC Low Pass Filter, DC -45 MHz",DC -45,54,70-90,20,90-1600,40,Low Pass,Lumped LC,SMT,50
SXLP-65+,HF1139,"Lumped LC Low Pass Filter, DC -65 MHz",DC -65,71,86-96,20,96-710,40,Low Pass,Lumped LC,SMT,50
SXLP-90+,HF1139,"Lumped LC Low Pass Filter, DC -90 MHz",DC -90,94,105-170,20,170-1000,40,Low Pass,Lumped LC,SMT,50
SXLP-95+,HF1139,"Lumped LC Low Pass Filter, DC -95 MHz",DC -95,108,146-189,20,189-1400,40,Low Pass,Lumped LC,SMT,50
SXLP-135+,HF1139,"Lumped LC Low Pass Filter, DC -135 MHz",DC -135,155,210-300,20,300-1600,40,Low Pass,Lumped LC,SMT,50
SXLP-190+,HF1139,"Lumped LC Low Pass Filter, DC -190 MHz",DC -190,210,290-390,20,390-1000,40,Low Pass,Lumped LC,SMT,50
SXLP-380+,HF1139,"Lumped LC Low Pass Filter, DC -380 MHz",DC -380,440,580-750,20,750-2200,30,Low Pass,Lumped LC,SMT,50
SXLP-400+,HF1139,"Lumped LC Low Pass Filter, DC -400 MHz",DC -400,435,500-2400,20,-,-,Low Pass,Lumped LC,SMT,50
SXLP-450+,HF1139,"Lumped LC Low Pass Filter, DC -450 MHz",DC -450,465,495-545,20,545-3000,40,Low Pass,Lumped LC,SMT,50
SXLP-550+,HF1139,"Lumped LC Low Pass Filter, DC -550 MHz",DC -550,605,800-1050,20,1050-2000,30,Low Pass,Lumped LC,SMT,50
SXLP-550A+,HF1139,"Lumped LC Low Pass Filter, DC -550 MHz",DC -550,565,600-630,20,630-2300,30,Low Pass,Lumped LC,SMT,50
SXLP-700+,HF1139,"Lumped LC Low Pass Filter, DC -700 MHz",DC -700,770,1000-1300,20,1300-2000,40,Low Pass,Lumped LC,SMT,50
SXLP-1100+,HF1139,"Lumped LC Low Pass Filter, DC -1100 MHz",DC -1100,1225,1440-8500,20,-,-,Low Pass,Lumped LC,SMT,50
ULP-30+,QA2224,"Lumped LC Low Pass Filter, DC -30 MHz",DC -30,37,47-53,20,53-3000,40,Low Pass,Lumped LC,SMT,50
ULP-40+,QA2224,"Lumped LC Low Pass Filter, DC -40 MHz",DC -40,56,70-80,20,80-600,40,Low Pass,Lumped LC,SMT,50
ULP-50+,QA2224,"Lumped LC Low Pass Filter, DC -50 MHz",DC -50,59,78-91,20,91-700,40,Low Pass,Lumped LC,SMT,50
ULP-70+,QA2224,"Lumped LC Low Pass Filter, DC -70 MHz",DC -70,77,100-115,20,115-700,40,Low Pass,Lumped LC,SMT,50
ULP-83+,QA2224,"Lumped LC Low Pass Filter, DC -83 MHz",DC -83,93,118-135,20,135-850,40,Low Pass,Lumped LC,SMT,50
ULP-105+,QA2224,"Lumped LC Low Pass Filter, DC -105 MHz",DC -105,116,145-165,20,165-1000,40,Low Pass,Lumped LC,SMT,50
ULP-120+,QA2224,"Lumped LC Low Pass Filter, DC -120 MHz",DC -120,132,170-205,20,205-1000,40,Low Pass,Lumped LC,SMT,50
ULP-137+,QA2224,"Lumped LC Low Pass Filter, DC -137 MHz",DC -137,150,190-215,20,215-1000,40,Low Pass,Lumped LC,SMT,50
ULP-158+,QA2224,"Lumped LC Low Pass Filter, DC -158 MHz",DC -158,172,220-255,20,255-1000,40,Low Pass,Lumped LC,SMT,50
ULP-176+,QA2224,"Lumped LC Low Pass Filter, DC -176 MHz",DC -176,191,245-285,20,285-1000,40,Low Pass,Lumped LC,SMT,50
ULP-190+,QA2224,"Lumped LC Low Pass Filter, DC -190 MHz",DC -190,220,264-300,20,300-1300,40,Low Pass,Lumped LC,SMT,50
