Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
CBP4-1875Q+,HQ2299,"Ceramic Resonator Band Pass Filter, 1825-1925 MHz",1825,1925,DC-1775,30,1971-3000,29,Band Pass,Ceramic Resonator,SMT,50
CBP4-2375Q+,HQ2299-1,"Ceramic Resonator Band Pass Filter, 2150-2600 MHz",2150,2600,DC-2020,30,2800-3600,30,Band Pass,Ceramic Resonator,SMT,50
CBP4-3180AG+,RZ2511-1,"Ceramic Resonator Band Pass Filter, 3126-3234 MHz",3126,3234,DC-2990,30,3360-6300,30,Band Pass,Ceramic Resonator,SMT,50
CBP4-T2656R25+,VS2537,"Ceramic Resonator Band Pass Filter, 2631.5-2681 MHz",2631.5,2681,DC-2535,27,2775-4500,27,Band Pass,Ceramic Resonator,SMT,50
CBP6-507BG+,KV1710-3,"Ceramic Resonator Band Pass Filter, 504-509 MHz",504,509,DC-486,52,528-1900,40,Band Pass,Ceramic Resonator,SMT,50
CBP6-950BB+,KV1710-2,"Ceramic Resonator Band Pass Filter, 940-960 MHz",940,960,DC-800,52,1040-1800,52,Band Pass,Ceramic Resonator,SMT,50
CBP12-1030BE+,UP2912,"Ceramic Resonator Band Pass Filter, 1027-1033 MHz",1027,1033,DC-970,80,1800-2000,40,Band Pass,Ceramic Resonator,SMT,50
CBP12-1090BE+,UP2912,"Ceramic Resonator Band Pass Filter, 1087-1093 MHz",1087,1093,DC-1000,80,1800-2000,40,Band Pass,Ceramic Resonator,SMT,50
CBP12-1411AK+,UR2632,"Ceramic Resonator Band Pass Filter, 1395-1427 MHz",1395,1427,DC-1225,34,1650-2400,30,Band Pass,Ceramic Resonator,SMT,50
CSBP-A940+,KV1514,"Ceramic Resonator Band Pass Filter, 880-1000 MHz",880,1000,DC-800,20,1095-1840,20,Band Pass,Ceramic Resonator,SMT,50
